Place,Athlete,Class,Team,Time,Points,Year
222,Matthew Carmody,JR,Notre Dame,31:29.1,187,2022
223,Luke Lambert,FR,Tulsa,31:29.8,188,2022
224,Jack Stanley,JR,Princeton,31:30.4,189,2022
225,Lucas Guerra,FR,Georgetown,31:31.1,190,2022
226,Luke Venhuizen,FR,Michigan,31:31.4,191,2022
227,Jake Toomey,SO,NC State,31:34.4,192,2022
228,Nathanael Berhane,FR,Texas,31:35.2,193,2022
229,Eli Nahom,SO,Tennessee,31:37.0,194,2022
230,Oli Raimond,SO,Michigan,31:37.4,195,2022
231,Kevin Berry,SR,Notre Dame,31:38.2,196,2022
232,Brady Grant,JR,Alabama,31:38.8,197,2022
233,Levi Taylor,SO,Montana State,31:44.5,198,2022
234,Nick Foster,SR,Michigan,31:51.6,199,2022
235,Jack Fredian,SR,Villanova,31:55.2,200,2022
236,Max Nores,JR,Tulsa,31:56.0,201,2022
237,Emmanuel Sgouros,FR,Texas,31:58.2,202,2022
238,Jack Spamer,JR,Michigan,31:58.6,203,2022
239,Taonga Mbambo,JR,La Salle,32:04.0,—,2022
240,Owen Smith,SO,Montana State,32:04.0,204,2022
241,Gavin Saacke,SO,Alabama,32:05.1,205,2022
242,Rob McManus,SO,Montana State,32:08.7,206,2022
243,Josh Shearer,JR,Arkansas,32:08.8,207,2022
244,Riley Buchholz,JR,Tennessee,32:09.0,208,2022
245,Dalton Hengst,SR,Ole Miss,32:11.8,209,2022
246,Jarrett Kirk,SO,Princeton,32:12.7,210,2022
247,Brock Dykema,JR,Colorado State,32:15.8,211,2022
248,John Malach,SO,NC State,32:17.0,212,2022
249,Brady Barton,SO,Alabama,32:30.2,213,2022
250,Abel Teffra,SO,Georgetown,32:32.6,214,2022
251,Ben Rosa,SO,Harvard,32:45.1,215,2022
252,Jonathan Chung,SO,Texas A&M,32:50.7,—,2022
1,Conner Mantz,JR,BYU,28:33.1,1,2021
2,Wesley Kiptoo,JR,Iowa State,28:38.7,2,2021
3,Athanas Kioko,SR,Campbell,28:40.9,—,2021
4,Charles Hicks,FR,Stanford,28:47.2,3,2021
5,Morgan Beadlescomb,SR,Michigan State,28:50.6,4,2021
6,Adriaan Wildschutt,JR,Florida State,28:52.0,5,2021
7,Abdihamid Nur,SO,Northern Arizona,28:52.9,6,2021
8,Casey Clinger,SO,BYU,28:55.7,7,2021
9,Haftu Strintzos,SO,Villanova,28:57.3,—,2021
10,Dylan Jacobs,JR,Notre Dame,28:57.5,8,2021
11,Nico Young,FR,Northern Arizona,28:57.5,9,2021
12,Amon Kemboi,SR,Arkansas,29:13.1,10,2021
13,Drew Bosley,SO,Northern Arizona,29:13.8,11,2021
14,Ky Robinson,FR,Stanford,29:15.7,12,2021
15,Gilbert Boit,SR,Arkansas,29:16.4,13,2021
16,Christian Allen,JR,Weber State,29:17.0,—,2021
17,Emmanuel Cheboson,JR,Arkansas,29:17.4,14,2021
18,Aaron Bienenfeld,SR,Oregon,29:18.0,15,2021
19,Zach Facioni,JR,Wake Forest,29:19.2,16,2021
20,Ahmed Muhumed,SR,Florida State,29:19.9,17,2021
21,Thomas Pollard,SR,Iowa State,29:20.4,18,2021
22,Isai Rodriguez,JR,Oklahoma State,29:20.6,19,2021
23,Graham Blanks,FR,Harvard,29:21.1,20,2021
24,Eduardo Herrera,SR,Colorado,29:22.0,21,2021
25,Ehab El-Sandali,SR,Iona,29:25.3,—,2021
26,Sam Gilman,JR,Air Force,29:25.4,22,2021
27,Shea Foster,JR,Oklahoma State,29:25.8,23,2021
28,Parker Wolfe,FR,North Carolina,29:25.8,24,2021
29,Victor Shitsama,FR,Oklahoma State,29:25.8,25,2021
30,Olin Hacker,SR,Wisconsin,29:27.3,26,2021
31,Danny Kilrea,JR,Notre Dame,29:28.0,27,2021
32,Yaseen Abdalla,FR,Texas,29:28.1,28,2021
33,Abdirizak Ibrahim,SO,New Mexico,29:28.2,—,2021
34,Cormac Dalton,JR,Tulsa,29:28.5,29,2021
35,Matthew Pereira,SR,Harvard,29:28.7,30,2021
36,James Mwaura,JR,Gonzaga,29:29.2,31,2021
37,George Kusche,JR,Northern Arizona,29:29.5,32,2021
38,Brian Fay,SR,Washington,29:29.6,33,2021
39,Brodey Hasty,SO,Northern Arizona,29:30.3,34,2021
40,Acer Iverson,SO,Harvard,29:31.5,35,2021
41,Gable Sieperda,FR,Iowa State,29:31.9,36,2021
42,Peter Lynch,SR,Tulsa,29:32.6,37,2021
43,Michael Coccia,SR,Ole Miss,29:34.2,38,2021
44,Festus Lagat,SR,Iowa State,29:34.8,39,2021
45,Andrew Kent,SR,Colorado,29:34.9,40,2021
46,Mario Garcia Romo,JR,Ole Miss,29:36.1,41,2021
47,Ryan Ford,SR,Iowa State,29:36.9,42,2021
48,Eliud Kipsang,FR,Alabama,29:37.6,43,2021
49,Matthew Carmody,JR,Notre Dame,29:38.3,44,2021
50,JP Flavin,SR,NC State,29:38.7,—,2021
51,Michael Power,JR,Tulsa,29:39.7,45,2021
52,Zak Kirk,JR,Portland,29:40.5,46,2021
53,Hillary Cheruiyot,FR,Alabama,29:41.5,47,2021
54,Brandon Garnica,JR,BYU,29:41.8,48,2021
55,Joe Dragon,SR,Syracuse,29:42.5,49,2021
56,Andrew Kibet,JR,Arkansas,29:42.7,50,2021
57,Ryan Smeeton,SR,Oklahoma State,29:42.8,51,2021
58,Scott Beattie,JR,Tulsa,29:45.2,52,2021
59,Duncan Hamilton,JR,Montana State,29:45.6,—,2021
60,Simon Bedard,SR,Butler,29:45.7,53,2021
61,Marcelo Rocha,JR,Providence,29:45.8,—,2021
62,Stephen Jones,SR,Colorado,29:47.7,54,2021
63,Haftu Knight,SO,Texas,29:47.8,55,2021
64,Jonas Gertsen,FR,Portland,29:49.0,56,2021
65,Ezekiel Kibichii,SO,Iowa State,29:49.8,57,2021
66,Bob Liking,FR,Wisconsin,29:50.6,58,2021
67,Ed Trippas,SR,Princeton,29:51.1,59,2021
68,Paul Arredondo,SR,Charlotte,29:52.0,—,2021
69,Alec Basten,SR,Minnesota,29:54.2,60,2021
70,Austin Vancil,SO,Colorado,29:55.9,61,2021
71,Christian Ricketts,SR,Southern Utah,29:56.6,62,2021
72,Matthew Wilkinson,JR,Minnesota,29:56.8,63,2021
73,Jack Jennings,FR,Villanova,29:57.1,—,2021
74,Aaron Las Heras,JR,Wake Forest,29:57.5,64,2021
75,Tibebu Proctor,SR,Washington,29:58.4,65,2021
76,Tom Brady,SO,Michigan,29:58.5,66,2021
77,Dustin Hatfield,JR,Eastern Illinois,29:59.9,—,2021
78,JP Trojan,SR,Syracuse,30:00.4,67,2021
79,Rory Leonard,FR,Oklahoma State,30:02.0,68,2021
80,Devin Hart,FR,Stanford,30:02.4,69,2021
81,Cole Sprout,FR,Stanford,30:03.3,70,2021
82,Fearghal Curtin,SR,Charleston Southern,30:03.4,—,2021
83,Rodger Rivera,FR,Texas,30:03.7,71,2021
84,Seth Hirsch,SR,Wisconsin,30:03.8,72,2021
85,Brendan Fraser,JR,Colorado,30:04.5,73,2021
86,Isaac Akers,JR,Tulsa,30:05.2,74,2021
87,Kieran Lumb,SR,Washington,30:05.2,75,2021
88,Thomas Vanoppen,JR,Wake Forest,30:05.5,76,2021
89,Jack Aho,SR,North Carolina,30:05.9,77,2021
90,Aidan Tooker,SR,Syracuse,30:06.4,78,2021
91,Shea Weilbaker,SO,Georgetown,30:06.8,79,2021
92,Khalid Hussein,JR,Minnesota,30:06.9,80,2021
93,Stan Niesten,SR,Portland,30:07.0,81,2021
94,Meika Beaudoin-Rousseau,JR,Stanford,30:07.1,82,2021
95,Scott Maison,SR,Air Force,30:07.4,83,2021
96,Daniel Bernal,SR,Furman,30:07.5,84,2021
97,Anthony Monte,FR,Princeton,30:08.0,85,2021
98,Kirami Yego,FR,South Alabama,30:08.2,—,2021
99,Joe Waskom,FR,Washington,30:09.1,86,2021
100,Barry Keane,JR,Butler,30:09.6,87,2021
101,Joaquin Martinez De Pinillos,JR,Wake Forest,30:09.9,88,2021
102,Lucas Bons,FR,BYU,30:10.1,89,2021
103,Kevin Ramos,SO,Southern Utah,30:10.2,90,2021
104,Ed Goddard,SR,Iona,30:10.8,—,2021
105,Lexington Hilton,SO,Arkansas State,30:13.0,—,2021
106,Nate Osterstock,SR,Southern Utah,30:13.1,91,2021
107,Matt Young,SR,Georgetown,30:13.4,92,2021
108,Patrick Anderson,FR,North Carolina,30:13.5,93,2021
109,Cruz Gomez,SO,Texas,30:13.9,94,2021
110,Dennis Kipngeno,SO,Texas A&M-CC,30:14.3,—,2021
111,Dylan Schubert,FR,Furman,30:15.6,95,2021
112,Matthew Richtman,SO,Montana State,30:15.7,—,2021
113,Nick Moulai,JR,Ole Miss,30:18.0,96,2021
114,Theo Quax,SO,Northern Arizona,30:19.0,97,2021
115,Rowen Ellenberg,FR,Wisconsin,30:19.4,98,2021
116,Chad Johnson,JR,Iowa State,30:19.7,99,2021
117,Joshua Methner,FR,Notre Dame,30:19.8,100,2021
118,Garrett Marsing,JR,BYU,30:20.7,101,2021
119,Noah Carey,SR,Penn,30:20.7,—,2021
120,Ben Savino,SR,Ole Miss,30:21.0,102,2021
121,Matthew Scrape,SO,Syracuse,30:21.3,103,2021
122,Joost Plaetinck,SR,Michigan,30:21.9,104,2021
123,Callum Bolger,SR,Stanford,30:22.1,105,2021
124,Charlie Sweeney,JR,Colorado,30:22.1,106,2021
125,Karl Thiessen,JR,Tennessee,30:22.2,—,2021
126,Shuaib Aljabaly,JR,Wisconsin,30:23.0,107,2021
127,Myles Richter,SO,Arkansas,30:23.0,108,2021
128,Dario De Caro,SR,Boise State,30:25.1,—,2021
129,Sean Maison,SO,Air Force,30:26.4,109,2021
130,Zachary Stewart,SO,Michigan,30:27.1,110,2021
131,Anthony Russo,SR,Notre Dame,30:27.3,111,2021
132,Justin Robison,SR,Wake Forest,30:28.0,112,2021
133,Kyle Radosevich,FR,Gonzaga,30:28.2,113,2021
134,Leo Daschbach,FR,Washington,30:28.8,114,2021
135,Jack Salisbury,JR,Georgetown,30:29.6,115,2021
136,Alec Sandusky,SR,Cincinnati,30:29.6,—,2021
137,Curtis Eckstein,SR,Purdue,30:29.7,—,2021
138,Evan Bishop,FR,Wisconsin,30:30.6,116,2021
139,Adam Fogg,JR,Drake,30:30.7,—,2021
140,Luke Tewalt,FR,Wake Forest,30:31.1,117,2021
141,Grant O’ Callaghan,SR,Lipscomb,30:31.6,—,2021
142,Cole Bullock,SO,Ole Miss,30:32.1,118,2021
143,Ryan Johnson,JR,Air Force,30:33.1,119,2021
144,Ryan Ioanidis,SR,Air Force,30:33.4,120,2021
145,Cullen McEachern,JR,Gonzaga,30:33.7,121,2021
146,Bradley Peloquin,FR,Portland,30:33.8,122,2021
147,Alex Maier,SO,Oklahoma State,30:34.0,123,2021
148,Shay McEvoy,FR,Tulsa,30:34.7,124,2021
149,George Duggan,SR,Portland,30:35.1,125,2021
150,Ahmed Ibrahim,FR,Boise State,30:35.5,—,2021
151,Matthew Farrell,FR,Princeton,30:35.7,126,2021
152,Isaac Green,SR,Washington,30:35.8,127,2021
153,Kwanele Mthembu,JR,Texas State,30:37.8,—,2021
154,Jack Yearian,SR,Oregon,30:38.0,128,2021
155,Will Coogan,FR,North Carolina,30:38.2,129,2021
156,David Melville,JR,Harvard,30:39.2,130,2021
157,Chris McLeod,FR,Tulsa,30:39.7,131,2021
158,Yared Nuguse,SR,Notre Dame,30:40.1,132,2021
159,Devin Meyrer,SR,Michigan,30:41.0,133,2021
160,Andrew Alexander,SR,Notre Dame,30:41.3,134,2021
161,Jacob McLeod,JR,Arkansas,30:41.3,135,2021
162,Ryan Raff,JR,Northern Arizona,30:41.4,136,2021
163,Jesse Hunt,JR,North Carolina,30:41.9,137,2021
164,Sean Laidlaw,JR,Georgetown,30:42.0,138,2021
165,Jackson Sharp,SO,Wisconsin,30:42.0,139,2021
166,Luke Houser,FR,Washington,30:44.6,140,2021
167,Josh Phillips,JR,Villanova,30:46.8,—,2021
168,Dereck Elkins,JR,Ole Miss,30:47.6,141,2021
169,Parker Stokes,FR,Georgetown,30:47.6,142,2021
170,Will Kitzhaber,SR,Air Force,30:47.7,143,2021
171,Jakob Kintzele,JR,Princeton,30:48.1,144,2021
172,Abraham Avila-Martinez,FR,Texas,30:49.4,145,2021
173,Perry Mackinnon,JR,Cornell,30:49.6,—,2021
174,Jack Manderscheid,SR,Minnesota,30:49.9,146,2021
175,Aidan Troutner,FR,BYU,30:53.7,147,2021
176,Arjun Jha,JR,Indiana,30:55.1,—,2021
177,Noah Dolhare,JR,Furman,30:57.5,148,2021
178,Ben Hartvigsen,SO,Harvard,30:58.0,149,2021
179,Riley Moore,SO,Gonzaga,30:58.7,150,2021
180,Luke Combs,SO,Air Force,30:59.1,151,2021
181,Leo Donlea,JR,Portland,30:59.3,152,2021
182,Tyler Berg,JR,Columbia,30:59.5,—,2021
183,Nicholas Bendsten,FR,Princeton,31:01.9,153,2021
184,Silas Griffith,SR,Florida State,31:02.1,154,2021
185,Pierre-Louis Detourbe,JR,Butler,31:02.3,155,2021
186,Bradley Makuvire,JR,SE Louisiana,31:02.3,—,2021
187,Matt Grossman,SR,Princeton,31:02.4,156,2021
188,Abdifetah Ahmed,SO,Michigan State,31:03.0,157,2021
189,Isaiah Labra,SO,Southern Utah,31:03.5,158,2021
190,Marshall Williamson,SO,North Carolina,31:03.9,159,2021
191,Coen Roberts,FR,Wake Forest,31:05.2,160,2021
192,Aaron Wier,SR,Furman,31:05.3,161,2021
193,D.J. Principe,JR,Stanford,31:05.7,162,2021
194,Caleb Pottorff,SR,Florida State,31:05.7,163,2021
195,Amir Ado,JR,Washington St.,31:06.3,—,2021
196,Will Minnette,FR,Butler,31:07.4,164,2021
197,John Petruno,JR,Michigan State,31:08.2,165,2021
198,Abdinasir Hussein,FR,Oregon,31:08.3,166,2021
199,Quincy Norman,SO,Oregon,31:08.9,167,2021
200,Brendan Favazza,FR,Michigan State,31:09.3,168,2021
201,Owen Hoeft,SR,Minnesota,31:09.3,169,2021
202,Alec Hornecker,SR,Colorado,31:10.1,170,2021
203,Ethan Strand,FR,North Carolina,31:12.6,171,2021
204,Jacob Francis,SR,Southern Utah,31:12.9,172,2021
205,Crayton Carrozza,SO,Texas,31:14.7,173,2021
206,Sam Bowers,SO,Georgia,31:15.4,—,2021
207,Jacob Klemz,SR,Portland,31:16.2,174,2021
208,Oli Raimond,FR,Michigan,31:18.3,175,2021
209,Paul Selden,SR,Alabama,31:22.1,176,2021
210,Quinn Nicholson,SO,Georgetown,31:22.5,177,2021
211,Gabriel Curtis,FR,Florida State,31:24.4,178,2021
212,Caleb Brown,FR,Oregon,31:26.1,179,2021
213,Ethan Cannon,SR,Minnesota,31:26.5,180,2021
214,Kevin Berry,SR,Princeton,31:28.4,181,2021
215,Travis Feeny,SO,Southern Utah,31:32.0,182,2021
216,Camden Gilmore,FR,Georgetown,31:32.3,183,2021
217,Isaac Basten,SO,Drake,31:33.8,—,2021
218,Clark Otte,SR,Butler,31:34.6,184,2021
219,Carson Burian,FR,Alabama,31:34.7,185,2021
220,Max Spence,SR,Southern Utah,31:34.9,186,2021
221,Andrew Nolan,FR,Michigan State,31:36.7,187,2021
222,Alex Comerford,FR,Syracuse,31:38.8,188,2021
223,Baldvin Magnusson,JR,Eastern Michigan,31:40.0,—,2021
224,Jack Hawes,SO,Alabama,31:40.8,189,2021
225,Ryan Schoppe,FR,Oklahoma State,31:43.2,190,2021
226,Eli Hoeft,SO,Minnesota,31:44.1,191,2021
227,Davin Thompson,FR,BYU,31:45.6,192,2021
228,Matthew Owens,JR,Florida State,31:47.1,193,2021
229,James Uhlenberg,SO,Michigan State,31:48.2,194,2021
230,Logan Rees,SR,Boise State,31:52.8,—,2021
231,Reed Brown,SR,Oregon,31:54.4,195,2021
232,Jack McMahon,SO,Butler,31:56.9,196,2021
233,Jake Perrin,SR,Gonzaga,32:02.9,197,2021
234,Fraser Wilson,SO,Michigan State,32:05.3,198,2021
235,Joe Ewing,FR,Harvard,32:11.4,199,2021
236,Cameron Ponder,JR,Furman,32:14.1,200,2021
237,Evan Byrne,JR,Butler,32:14.8,201,2021
238,Evan Bates,FR,Gonzaga,32:22.3,202,2021
239,Michael Alber,SR,Harvard,32:23.8,203,2021
240,Jacob Holmes,SO,Florida State,32:30.2,204,2021
241,Wil Smith,FR,Gonzaga,32:35.2,205,2021
242,Cole Lindhorst,FR,Texas,32:42.2,206,2021
243,Brody Smith,SR,Syracuse,32:46.9,207,2021
244,Carson Williams,FR,Furman,32:48.3,208,2021
245,Gavin Saacke,FR,Alabama,32:49.3,209,2021
246,Nick Foster,JR,Michigan,32:57.5,210,2021
247,Cooper Teare,SR,Oregon,33:00.0,211,2021
248,Ryan Murphy,JR,Arkansas,33:03.1,212,2021
249,Christian Hubaker,SR,Michigan,33:09.9,213,2021
250,Joey Eovaldi,SO,Syracuse,34:27.5,214,2021
1,Conner Mantz,JR,BYU,29:26.1,1,2020
2,Adriaan Wildschutt,JR,Florida State,29:48.2,—,2020
3,Wesley Kiptoo,JR,Iowa State,29:54.9,2,2020
4,Nico Young,FR,Northern Arizona,29:58.3,3,2020
5,Patrick Dever,SR,Tulsa,30:00.0,4,2020
6,Blaise Ferro,SR,Northern Arizona,30:02.0,5,2020
7,Abdihamid Nur,SO,Northern Arizona,30:05.3,6,2020
8,Isai Rodriguez,JR,Oklahoma State,30:08.3,7,2020
9,Luis Grijalva,SR,Northern Arizona,30:10.2,8,2020
10,Danny Kilrea,JR,Notre Dame,30:11.5,9,2020
11,Amon Kemboi,SR,Arkansas,30:14.2,10,2020
12,Peter Lynch,SR,Tulsa,30:17.7,11,2020
13,Casey Clinger,SO,BYU,30:19.8,12,2020
14,Charles Hicks,FR,Stanford,30:21.0,13,2020
15,Cole Sprout,FR,Stanford,30:21.4,14,2020
16,Aaron Bienenfeld,SR,Cincinnati,30:22.0,—,2020
17,Alex Maier,SO,Oklahoma State,30:23.2,15,2020
18,Cole Bullock,SO,Ole Miss,30:24.7,16,2020
19,Isaac Akers,JR,Tulsa,30:25.4,17,2020
20,Dylan Jacobs,SO,Notre Dame,30:25.6,18,2020
21,Andrew Alexander,SR,Notre Dame,30:26.4,19,2020
22,Jake Renfree,FR,Notre Dame,30:26.6,20,2020
23,Yared Nuguse,SR,Notre Dame,30:26.6,21,2020
24,Devin Meyrer,SR,Michigan,30:27.9,—,2020
25,Jack O’Leary,SR,Iona,30:29.2,22,2020
26,Ryan Smeeton,SR,Oklahoma State,30:30.8,23,2020
27,Zach Facioni,JR,Wake Forest,30:30.9,24,2020
28,Caleb Garnica,JR,Utah State,30:31.2,25,2020
29,Ehab El-Sandali,SR,Iona,30:34.9,26,2020
30,Mario Garcia Romo,JR,Ole Miss,30:35.2,27,2020
31,Christian Ricketts,SR,Southern Utah,30:37.9,28,2020
32,Alex Masai,SR,Hofstra,30:39.1,—,2020
33,Morgan Beadlescomb,SR,Michigan State,30:40.3,29,2020
34,Victor Shitsama,FR,Oklahoma State,30:40.5,30,2020
35,Abdirizak Ibrahim,SO,New Mexico,30:42.0,—,2020
36,Joshua Methner,FR,Notre Dame,30:43.5,31,2020
37,Simon Bedard,JR,Butler,30:44.5,32,2020
38,Luke Meade,SR,Arkansas,30:44.9,33,2020
39,Jonathan Davis,SR,Illinois,30:46.3,—,2020
40,Gilbert Boit,SR,Arkansas,30:46.4,34,2020
41,Mitchell Day,SR,Iowa State,30:46.7,35,2020
42,Camren Todd,FR,Utah State,30:50.2,36,2020
43,Barry Keane,JR,Butler,30:50.4,37,2020
44,Brodey Hasty,SO,Northern Arizona,30:50.9,38,2020
45,Shea Foster,JR,SE Louisiana,30:53.1,—,2020
46,Ky Robinson,FR,Stanford,30:56.2,39,2020
47,Daniel Bernal,JR,Furman,30:57.1,40,2020
48,Nate Osterstock,SR,Southern Utah,31:00.3,41,2020
49,Josh Park,SR,Ohio,31:01.0,—,2020
50,Waleed Suliman,SR,Ole Miss,31:01.6,42,2020
51,Luke Houser,FR,Washington,31:01.9,43,2020
52,Stefen Rasmuson,JR,Southern Utah,31:02.1,44,2020
53,Festus Lagat,SR,Iowa State,31:02.6,45,2020
54,Ian Shanklin,SR,NC State,31:03.0,46,2020
55,Yacine Guermali,JR,Gonzaga,31:03.0,47,2020
56,Jamie Dee,JR,Iona,31:03.7,48,2020
57,Jacob McLeod,JR,Arkansas,31:04.2,49,2020
58,Seth Hirsch,SR,Wisconsin,31:04.3,50,2020
59,Alec Hornecker,SR,Colorado,31:05.6,51,2020
60,Zak Kirk,JR,Portland,31:06.8,52,2020
61,Aaron Las Heras,SO,Wake Forest,31:07.4,53,2020
62,Drew Bosley,SO,Northern Arizona,31:07.5,54,2020
63,Emmanuel Cheboson,JR,Arkansas,31:07.7,55,2020
64,Remi Schyns,JR,Butler,31:08.7,56,2020
65,Jack Davidson,SR,Santa Clara,31:09.9,—,2020
66,Haftu Strintzos,SO,Villanova,31:11.0,57,2020
67,Josh Phillips,JR,Villanova,31:11.1,58,2020
68,Alex Miley,SR,Duke,31:11.5,59,2020
69,Alec Sandusky,SR,Cincinnati,31:11.6,—,2020
70,Christopher Alfond,SR,UMass Lowell,31:11.6,—,2020
71,Ahmed Jaziri,JR,Eastern Kentucky,31:11.8,—,2020
72,D.J. Principe,JR,Stanford,31:12.3,60,2020
73,Ben Veatch,SR,Indiana,31:12.8,61,2020
74,Parker Stokes,FR,Georgetown,31:13.0,62,2020
75,Nathan Jubran,JR,North Florida,31:13.4,—,2020
76,Nickolas Scudder,SO,Charlotte,31:14.8,63,2020
77,Ryan Ioanidis,JR,Air Force,31:15.1,64,2020
78,Rowen Ellenberg,FR,Wisconsin,31:15.5,65,2020
79,Peter Hogan,SR,Gonzaga,31:16.7,66,2020
80,Kevin Mulcaire,SO,Oklahoma State,31:17.0,67,2020
81,Jackson Mestler,SR,Oregon,31:19.5,—,2020
82,Alek Parsons,SR,Stanford,31:19.5,68,2020
83,Ethan Cannon,SR,BYU,31:22.0,69,2020
84,Clayson Shumway,SR,BYU,31:23.7,70,2020
85,Arjun Jha,JR,Indiana,31:23.9,71,2020
86,Hannes Burger,JR,NC State,31:24.1,72,2020
87,Austin Vancil,SO,Colorado,31:24.4,73,2020
88,Aidan Reed,SR,Southern Utah,31:24.5,74,2020
89,Scott Beattie,SR,Tulsa,31:25.7,75,2020
90,Jacob Klemz,SR,Portland,31:25.8,76,2020
91,Thomas Pollard,SR,Iowa State,31:26.0,77,2020
92,Haydon Cooper,SR,Utah State,31:28.5,78,2020
93,Ryan Johnson,SO,Air Force,31:29.6,79,2020
94,Curtis Eckstein,SR,Purdue,31:30.0,80,2020
95,Ethan Powell,JR,Colorado,31:30.3,81,2020
96,Josh Romine,SR,Duke,31:30.9,82,2020
97,Isaiah Labra,JR,Southern Utah,31:32.1,83,2020
98,Olin Hacker,SR,Wisconsin,31:32.5,84,2020
99,Kevin Koski,SR,Illinois State,31:32.5,—,2020
100,Callum Bolger,SR,Stanford,31:33.0,85,2020
101,Jonathan Velasco,SO,Wake Forest,31:33.8,86,2020
102,Joe Riordan,SR,Michigan State,31:34.0,87,2020
103,Scott Johnson,SR,Air Force,31:34.1,88,2020
104,Isaac Green,JR,Washington,31:34.9,89,2020
105,James Uhlenberg,SO,Michigan State,31:35.0,90,2020
106,Paul Dellinger,SR,Duke,31:35.1,91,2020
107,Eduardo Herrera,SR,Colorado,31:35.4,92,2020
108,Bridger Altice,SO,Utah State,31:35.6,93,2020
109,Charlie O’Donovan,JR,Villanova,31:36.1,94,2020
110,Duncan Hamilton,JR,Montana State,31:36.3,—,2020
111,Shea Weilbaker,SO,Georgetown,31:37.2,95,2020
112,Paul Arredondo,SR,Charlotte,31:37.9,96,2020
113,Damien Dilcher,SO,Iona,31:38.4,97,2020
114,Zach Kinne,SO,Duke,31:38.8,98,2020
115,Travis Feeny,FR,Southern Utah,31:39.4,99,2020
116,Cameron Ponder,JR,Furman,31:39.7,100,2020
117,Paxton Smith,SR,Colorado,31:39.8,101,2020
118,Elijah Armstrong,SR,BYU,31:40.3,102,2020
119,Cathal Doyle,JR,Portland,31:40.6,103,2020
120,Jackson Sharp,SO,Wisconsin,31:43.9,104,2020
121,Luke Combs,FR,Air Force,31:48.0,105,2020
122,Chad Johnson,JR,Iowa State,31:50.5,106,2020
123,Ahmed Muhumed,JR,Florida State,31:53.1,—,2020
124,Jake Gebhardt,SO,Indiana,31:53.9,107,2020
125,Aidan Troutner,FR,BYU,31:54.1,108,2020
126,Carter Coughlin,SO,Wake Forest,31:54.7,109,2020
127,Dylan Schubert,FR,Furman,31:55.0,110,2020
128,Joe Dragon,SR,Syracuse,31:56.8,111,2020
129,Jack Salisbury,JR,Georgetown,31:56.9,112,2020
130,Ezekiel Kibichii,SO,Iowa State,31:57.0,113,2020
131,Stan Niesten,SR,Portland,31:59.1,114,2020
132,Nick Steele,SR,Villanova,31:59.7,115,2020
133,Jackson Martin,JR,Butler,32:01.5,116,2020
134,Evan Bates,FR,Gonzaga,32:02.9,117,2020
135,Campbell Lee,SO,Iona,32:03.0,118,2020
136,Ben Butler,SR,Kansas,32:03.1,—,2020
137,Taylor Dillon,JR,Weber State,32:04.3,—,2020
138,Spencer Nelson,SO,Utah State,32:05.5,119,2020
139,Hociel Landa,JR,Rice,32:05.6,—,2020
140,Santiago Gaitan,FR,Southern Utah,32:06.4,120,2020
141,Devin Hart,FR,Stanford,32:06.5,121,2020
142,Nate Kawalec,SO,NC State,32:06.7,122,2020
143,Camden Gilmore,FR,Georgetown,32:08.1,123,2020
144,Brendan Favazza,FR,Michigan State,32:08.5,124,2020
145,Joe Waskom,FR,Washington,32:09.0,125,2020
146,Milo Greder,SR,Iowa State,32:09.2,126,2020
147,Evert Silva,JR,Portland,32:10.1,127,2020
148,Scott Maison,SO,Air Force,32:10.5,128,2020
149,Ben Naeger,SR,Belmont,32:10.5,—,2020
150,Ryan Raff,JR,Northern Arizona,32:11.5,129,2020
151,Cameron Field,SR,Tulsa,32:13.9,130,2020
152,Joseph Humes,SR,Purdue,32:14.8,131,2020
153,CJ Ambrosio,SR,Duke,32:16.0,132,2020
154,Fraser Wilson,SO,Michigan State,32:16.4,133,2020
155,Jared Kreis,FR,Duke,32:16.9,134,2020
156,Britan Reynolds,JR,Utah Valley,32:18.2,—,2020
157,Shay McEvoy,FR,Tulsa,32:18.5,135,2020
158,Peter Morris,SO,Virginia,32:18.7,—,2020
159,Marshall Beatty,JR,Army West Point,32:19.6,—,2020
160,Quinn Nicholson,SO,Georgetown,32:19.9,136,2020
161,Darren Harman,JR,Utah State,32:20.6,137,2020
162,Clark Otte,JR,Butler,32:20.9,138,2020
163,Bradley Peloquin,FR,Portland,32:22.1,139,2020
164,Matt Young,SR,Arkansas,32:22.4,140,2020
165,Nick Moulai,SO,Ole Miss,32:22.9,141,2020
166,Will Kitzhaber,JR,Air Force,32:23.0,142,2020
167,Isaac Mohn,SO,Washington,32:23.8,143,2020
168,Paul Nichols,SR,Villanova,32:24.0,144,2020
169,Mason Coppi,SR,Furman,32:24.4,145,2020
170,Chris Theodore,JR,Duke,32:24.9,146,2020
171,Robinson Snider,SR,Ole Miss,32:25.7,147,2020
172,Andy Payne,SO,Eastern Michigan,32:26.0,—,2020
173,Finn McBride,SO,Charlotte,32:26.2,148,2020
174,Eric Van Der Els,SR,Connecticut,32:26.7,—,2020
175,Matthew Scrape,SO,Syracuse,32:27.0,149,2020
176,Mark Crandall,JR,Utah State,32:29.6,150,2020
177,Ian Harrison,FR,NC State,32:33.1,151,2020
178,Pierre-Louis Detourbe,JR,Butler,32:33.3,152,2020
179,Luke Jaciw-Zurakowsky,SR,La Salle,32:33.5,—,2020
